127.0.0.1, 2021-01-27 10:01:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-01-27 10:01:19, GET, /admin/default/site, HTTP/1.1, 200, 0.025006
127.0.0.1, 2021-01-27 10:01:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-01-27 10:01:22, GET, /Dipmelsa/default/index, HTTP/1.1, 200, 0.117687
127.0.0.1, 2021-01-27 10:01:22, GET, /Dipmelsa/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-01-27 10:01:22, GET, /Dipmelsa/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2021-01-27 10:01:22, GET, /Dipmelsa/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2021-01-27 10:01:22, GET, /Dipmelsa/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2021-01-27 10:01:22, GET, /Dipmelsa/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2021-01-27 10:01:22, GET, /Dipmelsa/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2021-01-27 10:01:22, GET, /Dipmelsa/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2021-01-27 10:01:22, GET, /Dipmelsa/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2021-01-27 10:01:22, GET, /Dipmelsa/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-01-27 10:01:22, GET, /Dipmelsa/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2021-01-27 10:01:32, GET, /admin/default/peek/Dipmelsa/models/menu.py, HTTP/1.1, 200, 0.015003
127.0.0.1, 2021-01-27 10:01:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-01-27 10:01:41, GET, /admin/default/design/Dipmelsa, HTTP/1.1, 200, 0.042009
127.0.0.1, 2021-01-27 10:01:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-01-27 10:01:48, GET, /admin/default/peek/Dipmelsa/models/db.py, HTTP/1.1, 200, 0.015002
127.0.0.1, 2021-01-27 10:01:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-01-27 10:02:00, GET, /admin/default/design/Dipmelsa, HTTP/1.1, 200, 0.041009
127.0.0.1, 2021-01-27 10:02:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-01-27 10:02:19, GET, /admin/default/peek/Dipmelsa/views/default/index.html, HTTP/1.1, 200, 0.017004
127.0.0.1, 2021-01-27 10:02:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/default/edit/Dipmelsa/views/default/index.html, HTTP/1.1, 200, 0.049011
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.006001
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/theme/twilight.css, HTTP/1.1, 200, 0.005002
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.005001
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.005001
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.013004
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.013004
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.007003
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.007001
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.007001
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.008001
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.009002
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/keymap/sublime.js, HTTP/1.1, 200, 0.012002
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.009002
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.010002
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.011002
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.009002
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.040008
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.009003
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.009003
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.010002
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.010002
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.008001
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.008002
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.009003
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.009003
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.009003
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.011003
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.013004
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.011003
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.011003
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.012003
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.011002
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/js/ajax_editor.js, HTTP/1.1, 200, 0.010003
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.011002
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/js/typeahead.min.js, HTTP/1.1, 200, 0.016004
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.029007
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.005001
127.0.0.1, 2021-01-27 10:02:43, GET, /admin/static/_2.21.1/images/files_toggle.png, HTTP/1.1, 200, 0.004001
127.0.0.1, 2021-01-27 10:02:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-01-27 10:02:44, GET, /admin/default/edit/Dipmelsa/views/default/index.html, HTTP/1.1, 200, 0.022005
127.0.0.1, 2021-01-27 10:02:44, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.036008
127.0.0.1, 2021-01-27 10:02:44, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.067015
127.0.0.1, 2021-01-27 10:02:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.075017
127.0.0.1, 2021-01-27 10:02:44, GET, /Dipmelsa/appadmin/hooks, HTTP/1.1, 200, 0.102023
127.0.0.1, 2021-01-27 10:02:44, GET, /admin/static/_2.21.1/images/save_icon.png, HTTP/1.1, 200, 0.008003
127.0.0.1, 2021-01-27 10:02:44, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.069016
127.0.0.1, 2021-01-27 10:02:46, GET, /admin/default/edit/Dipmelsa/controllers/default.py, HTTP/1.1, 200, 0.012002
127.0.0.1, 2021-01-27 10:02:46, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.006003
127.0.0.1, 2021-01-27 10:03:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.073017
127.0.0.1, 2021-01-27 10:03:45, GET, /Dipmelsa/appadmin/hooks, HTTP/1.1, 200, 0.620145
127.0.0.1, 2021-01-27 10:04:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.070015
127.0.0.1, 2021-01-27 10:04:44, GET, /Dipmelsa/appadmin/hooks, HTTP/1.1, 200, 0.603528
